Barcode,Sample
Kinnex16S_Fwd_01--Kinnex16S_Rev_20,PA1
Kinnex16S_Fwd_01--Kinnex16S_Rev_19,PA5
Kinnex16S_Fwd_01--Kinnex16S_Rev_18,PA7
Kinnex16S_Fwd_01--Kinnex16S_Rev_17,PA11
Kinnex16S_Fwd_01--Kinnex16S_Rev_16,PA13
Kinnex16S_Fwd_01--Kinnex16S_Rev_15,PA18
Kinnex16S_Fwd_01--Kinnex16S_Rev_14,PA35
Kinnex16S_Fwd_01--Kinnex16S_Rev_13,PA39
Kinnex16S_Fwd_02--Kinnex16S_Rev_20,PA40
Kinnex16S_Fwd_02--Kinnex16S_Rev_19,PA59
Kinnex16S_Fwd_02--Kinnex16S_Rev_18,PA60
Kinnex16S_Fwd_02--Kinnex16S_Rev_17,PA70
Kinnex16S_Fwd_02--Kinnex16S_Rev_16,PA72
Kinnex16S_Fwd_02--Kinnex16S_Rev_15,PA103
Kinnex16S_Fwd_02--Kinnex16S_Rev_14,PA108
Kinnex16S_Fwd_02--Kinnex16S_Rev_13,PA117
Kinnex16S_Fwd_03--Kinnex16S_Rev_20,PA128
Kinnex16S_Fwd_03--Kinnex16S_Rev_19,PA134
Kinnex16S_Fwd_03--Kinnex16S_Rev_18,PA147
Kinnex16S_Fwd_03--Kinnex16S_Rev_17,PA158
Kinnex16S_Fwd_03--Kinnex16S_Rev_16,PA160
Kinnex16S_Fwd_03--Kinnex16S_Rev_15,PA179
Kinnex16S_Fwd_03--Kinnex16S_Rev_14,PA183
Kinnex16S_Fwd_03--Kinnex16S_Rev_13,PA190
Kinnex16S_Fwd_04--Kinnex16S_Rev_20,PA191
Kinnex16S_Fwd_04--Kinnex16S_Rev_19,PA195
Kinnex16S_Fwd_04--Kinnex16S_Rev_18,PA196
Kinnex16S_Fwd_04--Kinnex16S_Rev_17,PA205
Kinnex16S_Fwd_04--Kinnex16S_Rev_16,PA209
Kinnex16S_Fwd_04--Kinnex16S_Rev_15,PA215
Kinnex16S_Fwd_04--Kinnex16S_Rev_14,PA224
Kinnex16S_Fwd_04--Kinnex16S_Rev_13,PA244
Kinnex16S_Fwd_05--Kinnex16S_Rev_20,PA252
Kinnex16S_Fwd_05--Kinnex16S_Rev_19,PA254
Kinnex16S_Fwd_05--Kinnex16S_Rev_18,PA274
Kinnex16S_Fwd_05--Kinnex16S_Rev_17,PA276
Kinnex16S_Fwd_05--Kinnex16S_Rev_16,PA290
Kinnex16S_Fwd_05--Kinnex16S_Rev_15,PA297
Kinnex16S_Fwd_05--Kinnex16S_Rev_14,PA306
Kinnex16S_Fwd_05--Kinnex16S_Rev_13,PA308
Kinnex16S_Fwd_06--Kinnex16S_Rev_20,PA318
Kinnex16S_Fwd_06--Kinnex16S_Rev_19,PA320
Kinnex16S_Fwd_06--Kinnex16S_Rev_18,PA335
Kinnex16S_Fwd_06--Kinnex16S_Rev_17,PA347
Kinnex16S_Fwd_06--Kinnex16S_Rev_16,PA348
Kinnex16S_Fwd_06--Kinnex16S_Rev_15,PA349
Kinnex16S_Fwd_06--Kinnex16S_Rev_14,PA365
Kinnex16S_Fwd_06--Kinnex16S_Rev_13,PA377
Kinnex16S_Fwd_07--Kinnex16S_Rev_20,PA394
Kinnex16S_Fwd_07--Kinnex16S_Rev_19,PA409
Kinnex16S_Fwd_07--Kinnex16S_Rev_18,PA415
Kinnex16S_Fwd_07--Kinnex16S_Rev_17,PA440
Kinnex16S_Fwd_07--Kinnex16S_Rev_16,PA461
Kinnex16S_Fwd_07--Kinnex16S_Rev_15,PA467
Kinnex16S_Fwd_07--Kinnex16S_Rev_14,PA478
Kinnex16S_Fwd_07--Kinnex16S_Rev_13,PA482
Kinnex16S_Fwd_08--Kinnex16S_Rev_20,PA490
Kinnex16S_Fwd_08--Kinnex16S_Rev_19,PA504
Kinnex16S_Fwd_08--Kinnex16S_Rev_18,PA519
Kinnex16S_Fwd_08--Kinnex16S_Rev_17,PA606
Kinnex16S_Fwd_08--Kinnex16S_Rev_16,PA633
Kinnex16S_Fwd_08--Kinnex16S_Rev_15,PA659
Kinnex16S_Fwd_08--Kinnex16S_Rev_14,PA668
Kinnex16S_Fwd_08--Kinnex16S_Rev_13,PA684
Kinnex16S_Fwd_09--Kinnex16S_Rev_20,PA703
Kinnex16S_Fwd_09--Kinnex16S_Rev_19,PA708
Kinnex16S_Fwd_09--Kinnex16S_Rev_18,PA717
Kinnex16S_Fwd_09--Kinnex16S_Rev_17,PA724
Kinnex16S_Fwd_09--Kinnex16S_Rev_16,PA739
Kinnex16S_Fwd_09--Kinnex16S_Rev_15,PA760
Kinnex16S_Fwd_09--Kinnex16S_Rev_14,PA769
Kinnex16S_Fwd_09--Kinnex16S_Rev_13,PA773
Kinnex16S_Fwd_10--Kinnex16S_Rev_20,PA780
Kinnex16S_Fwd_10--Kinnex16S_Rev_19,PA790
Kinnex16S_Fwd_10--Kinnex16S_Rev_18,PA809
Kinnex16S_Fwd_10--Kinnex16S_Rev_17,PA824
Kinnex16S_Fwd_10--Kinnex16S_Rev_16,PA832
Kinnex16S_Fwd_10--Kinnex16S_Rev_15,PA841
Kinnex16S_Fwd_10--Kinnex16S_Rev_14,PA856
Kinnex16S_Fwd_10--Kinnex16S_Rev_13,PA884
Kinnex16S_Fwd_11--Kinnex16S_Rev_20,PA932
Kinnex16S_Fwd_11--Kinnex16S_Rev_19,PA933
Kinnex16S_Fwd_11--Kinnex16S_Rev_18,PA935
Kinnex16S_Fwd_11--Kinnex16S_Rev_17,PA953
Kinnex16S_Fwd_11--Kinnex16S_Rev_16,PA965
Kinnex16S_Fwd_11--Kinnex16S_Rev_15,PA967
Kinnex16S_Fwd_11--Kinnex16S_Rev_14,PA972
Kinnex16S_Fwd_11--Kinnex16S_Rev_13,PA976
Kinnex16S_Fwd_12--Kinnex16S_Rev_20,PA982
Kinnex16S_Fwd_12--Kinnex16S_Rev_19,PA989
Kinnex16S_Fwd_12--Kinnex16S_Rev_18,PA995
Kinnex16S_Fwd_12--Kinnex16S_Rev_17,PA1000
Kinnex16S_Fwd_12--Kinnex16S_Rev_16,PA1009
Kinnex16S_Fwd_12--Kinnex16S_Rev_15,PA1011
Kinnex16S_Fwd_12--Kinnex16S_Rev_14,PA1013
Kinnex16S_Fwd_12--Kinnex16S_Rev_13,PA1018
Kinnex16S_Fwd_01--Kinnex16S_Rev_28,PA1033
Kinnex16S_Fwd_01--Kinnex16S_Rev_27,PA1037
Kinnex16S_Fwd_01--Kinnex16S_Rev_26,PA1043
Kinnex16S_Fwd_01--Kinnex16S_Rev_25,PA1047
Kinnex16S_Fwd_01--Kinnex16S_Rev_24,PA1058
Kinnex16S_Fwd_01--Kinnex16S_Rev_23,PA1067
Kinnex16S_Fwd_01--Kinnex16S_Rev_22,PA1074
Kinnex16S_Fwd_01--Kinnex16S_Rev_21,PA1081
Kinnex16S_Fwd_02--Kinnex16S_Rev_28,PA1084
Kinnex16S_Fwd_02--Kinnex16S_Rev_27,PA1093
Kinnex16S_Fwd_02--Kinnex16S_Rev_26,PA1095
Kinnex16S_Fwd_02--Kinnex16S_Rev_25,PA1098
Kinnex16S_Fwd_02--Kinnex16S_Rev_24,PA1101
Kinnex16S_Fwd_02--Kinnex16S_Rev_23,PA1102
Kinnex16S_Fwd_02--Kinnex16S_Rev_22,PA1109
Kinnex16S_Fwd_02--Kinnex16S_Rev_21,PA1110
Kinnex16S_Fwd_03--Kinnex16S_Rev_28,PA1125
Kinnex16S_Fwd_03--Kinnex16S_Rev_27,PA1133
Kinnex16S_Fwd_03--Kinnex16S_Rev_26,PA1134
Kinnex16S_Fwd_03--Kinnex16S_Rev_25,PA1141
Kinnex16S_Fwd_03--Kinnex16S_Rev_24,PA1152
Kinnex16S_Fwd_03--Kinnex16S_Rev_23,PA1153
Kinnex16S_Fwd_03--Kinnex16S_Rev_22,PA1160
Kinnex16S_Fwd_03--Kinnex16S_Rev_21,PA1164
Kinnex16S_Fwd_04--Kinnex16S_Rev_28,PA1182
Kinnex16S_Fwd_04--Kinnex16S_Rev_27,PA1188
Kinnex16S_Fwd_04--Kinnex16S_Rev_26,PA1203
Kinnex16S_Fwd_04--Kinnex16S_Rev_25,PA1209
Kinnex16S_Fwd_04--Kinnex16S_Rev_24,PA1212
Kinnex16S_Fwd_04--Kinnex16S_Rev_23,PA1216
Kinnex16S_Fwd_04--Kinnex16S_Rev_22,PA1218
Kinnex16S_Fwd_04--Kinnex16S_Rev_21,PA1226
Kinnex16S_Fwd_05--Kinnex16S_Rev_28,PA1227
Kinnex16S_Fwd_05--Kinnex16S_Rev_27,PA1230
Kinnex16S_Fwd_05--Kinnex16S_Rev_26,PA1232
Kinnex16S_Fwd_05--Kinnex16S_Rev_25,PA1239
Kinnex16S_Fwd_05--Kinnex16S_Rev_24,PA1241
Kinnex16S_Fwd_05--Kinnex16S_Rev_23,PA1246
Kinnex16S_Fwd_05--Kinnex16S_Rev_22,PA1248
Kinnex16S_Fwd_05--Kinnex16S_Rev_21,PA1250
Kinnex16S_Fwd_06--Kinnex16S_Rev_28,PA1265
Kinnex16S_Fwd_06--Kinnex16S_Rev_27,PA1267
Kinnex16S_Fwd_06--Kinnex16S_Rev_26,PA1285
Kinnex16S_Fwd_06--Kinnex16S_Rev_25,PA1301
Kinnex16S_Fwd_06--Kinnex16S_Rev_24,PA1302
Kinnex16S_Fwd_06--Kinnex16S_Rev_23,PA1305
Kinnex16S_Fwd_06--Kinnex16S_Rev_22,PA1311
Kinnex16S_Fwd_06--Kinnex16S_Rev_21,PA1321
Kinnex16S_Fwd_07--Kinnex16S_Rev_28,PA1327
Kinnex16S_Fwd_07--Kinnex16S_Rev_27,PA1332
Kinnex16S_Fwd_07--Kinnex16S_Rev_26,PA1335
Kinnex16S_Fwd_07--Kinnex16S_Rev_25,PA1337
Kinnex16S_Fwd_07--Kinnex16S_Rev_24,PA1338
Kinnex16S_Fwd_07--Kinnex16S_Rev_23,PA1343
Kinnex16S_Fwd_07--Kinnex16S_Rev_22,PA1345
Kinnex16S_Fwd_07--Kinnex16S_Rev_21,PA1348
Kinnex16S_Fwd_08--Kinnex16S_Rev_28,PA1355
Kinnex16S_Fwd_08--Kinnex16S_Rev_27,PA1363
